Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
189,Folarin Balogun,ENG,FW,Arsenal,Premier League,20,2,70,0.0,0.0,0,0,0.0,0,0,0,8,4,50.0,4,3,1,60,0,0,0.0,0,0,0,0.0,0,2,0.0,0,0,0,1,1,2,33.33
190,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,10,458,0.0,0.0,0,0,0.0,0,1,0,187,148,79.14,103,49,35,2363,7,2,28.57,0,6,6,0.0,1,2,50.0,1,0,5,6,7,5,58.3
191,Jonathan Bamba,FRA,MFFW,Lille,Ligue 1,26,31,2428,0.04,0.02,0,0,0.0,1,0,2,1150,867,75.39,832,132,186,14153,53,11,20.75,19,27,8,70.37,33,89,37.08,3,0,13,62,22,31,41.33
192,Patrick Bamford,ENG,FW,Leeds United,Premier League,28,9,559,0.32,0.1,0,0,0.0,2,0,2,103,85,82.52,76,18,9,1349,4,2,50.0,2,3,1,66.67,4,8,50.0,2,0,7,8,5,15,25.08
193,Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,35,1955,0.09,0.05,0,0,0.0,2,0,3,755,573,75.89,527,85,143,10088,50,16,32.0,26,50,24,52.0,12,28,42.86,10,0,57,21,16,35,31.49
194,Mattia Bani,ITA,DF,Genoa,Serie A,28,17,1211,0.0,0.0,0,0,0.0,0,0,0,459,338,73.64,246,61,153,7310,0,0,0.0,11,24,13,45.83,1,1,100.0,1,0,13,22,66,27,70.97
195,Simon Banza,FRA,FW,Lens,Ligue 1,25,4,124,0.71,0.17,0,0,0.0,1,0,1,29,20,68.97,20,3,6,369,0,0,0.0,2,3,1,66.67,5,6,83.33,0,0,3,8,6,3,66.72
196,Shandon Baptiste,GRN,MF,Brentford,Premier League,24,22,910,0.1,0.08,0,0,0.0,1,0,1,305,254,83.28,231,34,40,4349,5,1,20.0,4,7,3,57.14,14,19,73.68,2,1,7,15,11,22,33.33
197,Antonín Barák,CZE,FWMF,Hellas Verona,Serie A,27,29,2340,0.42,0.15,4,4,100.0,11,0,4,1110,889,80.09,827,160,123,13385,17,1,5.88,17,26,9,65.38,24,45,53.33,4,0,31,23,53,80,39.84
198,Barbero,ESP,MFFW,Osasuna,La Liga,23,6,21,0.0,0.0,0,0,0.0,0,0,0,13,6,46.15,9,1,3,63,1,0,0.0,1,1,0,100.0,1,1,100.0,0,0,2,1,2,5,28.57
199,Danilo Barbosa,BRA,DF,Nice,Ligue 1,26,1,90,0.0,0.0,0,0,0.0,0,0,0,41,33,80.49,30,3,8,677,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,6,4,60.0
200,Barcia,ESP,DF,Granada,La Liga,21,1,75,0.0,0.0,0,0,0.0,0,0,0,22,8,36.36,10,0,12,180,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,2,33.33
201,Bradley Barcola,FRA,FWMF,Lyon,Ligue 1,19,11,263,0.0,0.0,0,0,0.0,0,0,1,87,62,71.26,64,10,13,803,8,2,25.0,5,7,2,71.43,4,12,33.33,0,0,5,0,6,3,66.77
202,Melvin Bard,FRA,DF,Nice,Ligue 1,21,33,2589,0.07,0.4,0,0,0.0,2,0,2,1866,1518,81.35,1198,325,340,26755,72,14,19.44,46,66,20,69.7,25,38,65.79,3,0,24,31,37,35,51.2
203,Enis Bardhi,MKD,MFFW,Levante,La Liga,26,30,1701,0.16,0.02,2,2,100.0,3,0,3,750,531,70.8,480,90,179,9681,38,3,7.89,15,24,9,62.5,36,64,56.25,3,0,38,46,6,14,30.19
204,Francesco Bardi,ITA,GK,Bologna,Serie A,30,2,177,0.0,0.0,0,0,0.0,0,0,0,50,34,68.0,25,2,23,906,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
205,Keidi Bare,ALB,MF,Espanyol,La Liga,24,25,1481,0.06,0.2,0,0,0.0,1,0,1,871,751,86.22,662,91,119,13839,7,1,14.29,20,33,13,60.61,9,20,45.0,9,0,28,32,21,31,40.32
206,Nicolò Barella,ITA,MF,Inter,Serie A,25,36,2913,0.09,0.04,0,0,0.0,3,0,11,1847,1545,83.65,1383,227,239,26685,67,18,26.87,33,66,33,50.0,40,67,59.7,9,0,34,59,22,33,40.0
207,Kike Barja,ESP,MFFW,Osasuna,La Liga,25,21,865,0.21,0.12,0,0,0.0,2,0,0,382,263,68.85,225,69,88,4674,40,1,2.5,7,16,9,43.75,30,55,54.55,2,0,20,27,13,14,48.04
208,Ross Barkley,ENG,MF,Chelsea,Premier League,28,6,179,0.5,0.11,0,0,0.0,1,0,0,127,105,82.68,99,11,17,1714,1,0,0.0,1,1,0,100.0,5,6,83.33,0,0,2,7,6,2,75.0
209,Aymen Barkok,MAR,MFFW,Eint Frankfurt,Bundesliga,24,5,160,0.0,0.0,0,0,0.0,0,0,0,71,52,73.24,44,8,19,982,0,0,0.0,3,6,3,50.0,4,6,66.67,0,0,5,1,6,2,75.0
210,Ashley Barnes,ENG,FW,Burnley,Premier League,32,23,808,0.11,0.0,1,1,100.0,1,0,0,199,130,65.33,113,46,40,1877,4,2,50.0,10,13,3,76.92,4,8,50.0,4,0,24,14,41,76,35.08
211,Harvey Barnes,ENG,FWMF,Leicester City,Premier League,24,32,2101,0.26,0.09,0,0,0.0,6,0,10,750,557,74.27,534,111,107,8020,40,2,5.0,13,31,18,41.94,31,81,38.27,2,0,22,27,25,48,34.19
212,Antonio Barragán,ESP,DF,Elche,La Liga,34,16,1020,0.0,0.0,0,0,0.0,0,0,0,537,427,79.52,313,101,123,8481,17,1,5.88,10,27,17,37.04,1,1,100.0,5,0,21,18,9,2,81.63
213,Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,22,31,1789,0.05,0.03,0,0,0.0,1,0,2,545,400,73.39,366,91,89,6233,7,2,28.57,35,71,36,49.3,4,17,23.53,3,0,44,34,27,35,43.59
214,Ander Barrenetxea,ESP,FWMF,Real Sociedad,La Liga,20,11,547,0.16,0.13,0,0,0.0,1,0,1,187,136,72.73,149,16,22,2121,8,1,12.5,15,21,6,71.43,17,35,48.57,0,0,10,20,4,7,36.46
215,Jacob Barrett Laursen,DEN,DF,Arminia,Bundesliga,27,24,1632,0.11,0.25,0,0,0.0,2,1,0,789,563,71.36,395,183,214,10835,27,1,3.7,16,24,8,66.67,15,26,57.69,1,0,13,9,20,32,38.33
216,Musa Barrow,GAM,FWMF,Bologna,Serie A,23,34,2134,0.25,0.08,0,0,0.0,6,0,6,939,713,75.93,640,113,187,12879,53,12,22.64,12,16,4,75.0,32,58,55.17,0,0,11,27,24,48,33.22
217,Abdourahmane Barry,FRA,DF,Greuther Fürth,Bundesliga,22,8,210,0.0,0.0,0,0,0.0,0,0,0,115,88,76.52,59,27,29,1685,6,2,33.33,3,9,6,33.33,1,4,25.0,2,0,8,4,6,2,75.0
218,Marc Bartra,ESP,DF,Betis,La Liga,31,23,1993,0.05,0.07,0,0,0.0,1,0,0,1107,919,83.02,760,72,276,21052,0,0,0.0,20,44,24,45.45,7,8,87.5,5,0,22,19,79,37,68.13
219,Daniele Baselli,ITA,MFFW,Torino,Serie A,30,6,150,0.0,0.0,0,0,0.0,0,0,0,87,64,73.56,58,13,16,1228,3,0,0.0,0,2,2,0.0,1,1,100.0,0,0,4,4,1,9,10.03
220,Daniele Baselli,ITA,MF,Cagliari,Serie A,30,9,290,0.0,0.0,0,0,0.0,0,0,1,150,111,74.0,94,20,36,2144,5,1,20.0,3,6,3,50.0,4,9,44.44,1,0,4,3,0,5,0.0
221,Toma Bai?,CRO,MF,Lazio,Serie A,25,29,982,0.0,0.0,0,0,0.0,0,0,2,453,383,84.55,362,44,47,6191,10,0,0.0,8,12,4,66.67,9,13,69.23,3,0,14,9,10,10,50.0
222,Toma Bai?,CRO,MF,Bordeaux,Ligue 1,25,3,209,0.0,0.0,0,0,0.0,0,0,1,101,74,73.27,61,14,26,1460,7,1,14.29,3,5,2,60.0,2,3,66.67,0,0,6,2,0,1,0.0
223,Amine Bassi,FRA,MF,Metz,Ligue 1,24,5,184,0.0,0.0,0,0,0.0,0,0,0,119,86,72.27,73,19,27,1605,5,0,0.0,4,4,0,100.0,2,4,50.0,0,0,4,4,1,4,20.0
224,Álvaro Bastida,ESP,MF,Cádiz,La Liga,18,6,197,0.0,0.0,0,0,0.0,0,0,0,53,42,79.25,33,7,13,733,0,0,0.0,2,5,3,40.0,0,1,0.0,1,0,1,0,1,7,12.4
225,Alessandro Bastoni,ITA,DF,Inter,Serie A,23,31,2311,0.04,0.11,0,0,0.0,1,0,2,1799,1601,88.99,1378,161,260,32218,21,4,19.05,35,50,15,70.0,10,16,62.5,4,0,36,34,62,36,63.25
226,Simone Bastoni,ITA,MFDF,Spezia,Serie A,25,31,2288,0.12,0.11,0,0,0.0,3,0,3,1209,889,73.53,643,241,328,16698,59,13,22.03,36,60,24,60.0,38,62,61.29,5,1,43,41,27,19,58.56
227,Lewis Bate,ENG,MF,Leeds United,Premier League,19,3,146,0.0,0.0,0,0,0.0,0,0,0,54,41,75.93,38,9,7,556,0,0,0.0,0,1,1,0.0,1,3,33.33,0,0,2,1,1,2,33.51
228,Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,30,26,1179,0.0,0.0,0,0,0.0,0,0,0,527,435,82.54,362,69,95,7253,0,0,0.0,30,37,7,81.08,8,14,57.14,4,0,34,25,36,29,55.44
229,Maximilian Bauer,GER,DF,Greuther Fürth,Bundesliga,22,26,1690,0.0,0.0,0,0,0.0,0,1,0,869,722,83.08,656,62,151,16775,0,0,0.0,25,35,10,71.43,0,0,0.0,5,0,30,12,65,43,60.17
230,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,33,2970,0.0,0.0,0,0,0.0,0,0,0,1521,1211,79.62,1016,48,455,30396,0,0,0.0,0,0,0,0.0,1,1,100.0,1,0,0,4,0,0,0.0
231,Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,26,25,2166,0.04,0.08,0,0,0.0,1,2,2,1166,937,80.36,815,99,253,20618,12,4,33.33,37,70,33,52.86,4,8,50.0,5,0,30,14,83,57,59.21
232,Julian Baumgartlinger,AUT,MF,Leverkusen,Bundesliga,34,6,88,0.0,0.0,0,0,0.0,0,0,0,66,58,87.88,44,13,9,1080,1,0,0.0,3,3,0,100.0,0,0,0.0,1,0,2,0,2,2,50.0
233,Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,22,29,1888,0.33,0.17,0,0,0.0,7,0,2,754,542,71.88,462,138,152,9416,28,6,21.43,26,32,6,81.25,16,35,45.71,5,0,35,31,47,59,44.36
234,Jon Bautista,ESP,FWMF,Real Sociedad,La Liga,26,1,45,0.0,0.0,0,0,0.0,0,0,0,8,6,75.0,6,2,0,81,0,0,0.0,0,3,3,0.0,1,1,100.0,0,0,1,1,1,1,50.0
235,Mohamed Bayo,GUI,FW,Clermont Foot,Ligue 1,23,32,2413,0.52,0.19,2,3,66.67,14,0,5,544,399,73.35,391,83,71,6097,9,0,0.0,8,14,6,57.14,33,55,60.0,1,0,21,6,46,70,39.72
236,Paul Baysse,FRA,DF,Bordeaux,Ligue 1,34,2,11,0.0,0.0,0,0,0.0,0,0,0,4,2,50.0,1,1,2,31,0,0,0.0,1,1,0,100.0,0,0,0.0,0,0,0,0,1,0,100.0
237,Noah Joel Sarenren Bazee,NGA,MFFW,Augsburg,Bundesliga,25,14,241,0.37,0.14,0,0,0.0,1,0,0,51,31,60.78,31,11,9,496,10,3,30.0,4,5,1,80.0,2,10,20.0,1,0,7,3,7,18,27.97
238,Bebé,CPV,FWMF,Rayo Vallecano,La Liga,31,29,867,0.1,0.02,0,0,0.0,1,0,2,342,211,61.7,205,46,91,3999,46,5,10.87,5,10,5,50.0,31,52,59.62,2,0,12,19,14,16,46.65
239,Ihlas Bebou,TOG,FWDF,Hoffenheim,Bundesliga,28,28,2091,0.3,0.16,0,0,0.0,7,0,2,631,457,72.42,357,169,105,7027,47,11,23.4,18,25,7,72.0,20,46,43.48,0,0,33,23,46,86,34.8
240,Rodrigo Becão,BRA,DF,Udinese,Serie A,26,35,3130,0.06,0.11,0,0,0.0,2,0,1,1399,1114,79.63,999,124,274,21141,12,1,8.33,72,95,23,75.79,5,8,62.5,10,0,68,49,73,38,65.83
241,Mads Bech Sørensen,DEN,DF,Brentford,Premier League,23,11,835,0.0,0.0,0,0,0.0,0,0,0,500,388,77.6,327,43,130,8013,18,3,16.67,7,12,5,58.33,0,0,0.0,3,0,9,4,14,10,58.3
242,Sheraldo Becker,SUR,FWMF,Union Berlin,Bundesliga,27,28,1758,0.21,0.11,0,0,0.0,4,0,6,610,384,62.95,357,136,118,7227,102,30,29.41,9,15,6,60.0,27,47,57.45,4,0,28,31,12,68,15.09
243,Jan Bednarek,POL,DF,Southampton,Premier League,26,31,2629,0.14,0.21,0,0,0.0,4,1,0,1431,1186,82.88,975,121,336,24493,6,1,16.67,21,37,16,56.76,1,2,50.0,10,0,38,17,114,60,65.55
244,Donny van de Beek,NED,MF,Manchester Utd,Premier League,25,8,75,1.25,0.5,0,0,0.0,1,0,0,32,25,78.12,27,3,2,385,0,0,0.0,3,5,2,60.0,3,4,75.0,0,0,4,2,3,3,50.0
245,Donny van de Beek,NED,MF,Everton,Premier League,25,7,483,0.19,0.2,0,0,0.0,1,0,0,241,202,83.82,193,17,31,3132,6,0,0.0,9,15,6,60.0,4,9,44.44,1,0,11,1,6,3,66.47
246,Asmir Begovi?,BIH,GK,Everton,Premier League,34,3,270,0.0,0.0,0,0,0.0,0,0,0,84,35,41.67,11,4,69,1599,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
247,Valon Behrami,SUI,MF,Genoa,Serie A,37,10,311,0.0,0.0,0,0,0.0,0,0,0,70,51,72.86,47,10,13,877,3,0,0.0,3,6,3,50.0,1,1,100.0,3,0,8,5,0,9,0.0
248,Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,24,499,0.36,0.13,0,0,0.0,2,0,2,184,127,69.02,94,45,45,1872,3,0,0.0,3,5,2,60.0,2,8,25.0,1,0,14,5,53,48,52.48
249,Youcef Belaïli,ALG,MFFW,Brest,Ligue 1,30,13,825,0.33,0.19,0,1,0.0,3,0,2,390,274,70.26,224,50,116,5458,19,1,5.26,2,5,3,40.0,21,38,55.26,2,0,13,22,5,17,22.59
250,Vid Belec,SVN,GK,Salernitana,Serie A,31,23,1938,0.0,0.0,0,0,0.0,0,0,0,578,363,62.8,193,28,359,13951,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0.0
251,Ishak Belfodil,ALG,FW,Hertha BSC,Bundesliga,30,26,1636,0.27,0.12,1,1,100.0,5,0,2,471,331,70.28,293,99,79,4344,18,1,5.56,6,12,6,50.0,19,39,48.72,1,0,22,12,49,60,44.91
252,Haris Belkebla,ALG,MF,Brest,Ligue 1,28,31,2310,0.0,0.0,0,0,0.0,0,0,0,1007,848,84.21,761,94,152,15870,11,7,63.64,32,56,24,57.14,21,33,63.64,2,0,39,43,30,16,65.36
253,Stefan Bell,GER,DF,Mainz 05,Bundesliga,30,33,2864,0.06,0.09,0,0,0.0,2,1,0,1479,1167,78.9,941,165,372,23325,11,1,9.09,34,64,30,53.12,8,10,80.0,9,0,52,5,137,56,71.0
254,Armel Bella Kotchap,GER,DF,Bochum,Bundesliga,20,22,1768,0.0,0.0,0,0,0.0,0,2,0,743,584,78.6,472,76,194,14516,2,1,50.0,24,40,16,60.0,1,1,100.0,5,0,28,31,58,20,74.37
255,Raoul Bellanova,ITA,DF,Cagliari,Serie A,21,31,2496,0.04,0.04,0,0,0.0,1,0,2,939,679,72.31,560,159,222,12759,84,19,22.62,17,36,19,47.22,33,60,55.0,3,0,14,36,23,34,40.29
256,Karim Bellarabi,GER,FWDF,Leverkusen,Bundesliga,32,16,683,0.39,0.11,0,0,0.0,3,0,2,267,199,74.53,190,43,34,3330,20,3,15.0,9,11,2,81.82,17,30,56.67,2,0,22,8,2,3,40.0
257,Jean-Ricner Bellegarde,FRA,MF,Strasbourg,Ligue 1,23,36,2332,0.08,0.06,0,0,0.0,2,0,3,1080,896,82.96,821,93,166,15874,29,4,13.79,52,65,13,80.0,38,59,64.41,5,0,46,76,19,24,43.98
258,Héctor Bellerín,ESP,DF,Betis,La Liga,27,23,1979,0.0,0.0,0,0,0.0,0,1,2,1065,814,76.43,616,242,207,13376,36,3,8.33,19,44,25,43.18,25,46,54.35,2,1,25,12,34,19,64.32
259,Jude Bellingham,ENG,MF,Dortmund,Bundesliga,18,32,2790,0.1,0.07,0,0,0.0,3,0,8,1534,1299,84.68,1194,173,169,22816,17,2,11.76,40,65,25,61.54,50,103,48.54,9,0,44,102,40,51,43.88
260,George Bello,USA,DF,Arminia,Bundesliga,20,10,434,0.0,0.0,0,0,0.0,0,1,0,177,138,77.97,111,41,25,2323,6,0,0.0,6,10,4,60.0,6,14,42.86,0,0,3,7,3,9,25.1
261,Jeanuel Belocian,FRA,DF,Rennes,Ligue 1,17,1,12,0.0,0.0,0,0,0.0,0,0,0,10,8,80.0,9,0,1,155,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
262,Andrea Belotti,ITA,FW,Torino,Serie A,28,22,1371,0.53,0.09,3,3,100.0,8,0,1,359,254,70.75,226,79,54,3516,10,0,0.0,7,10,3,70.0,13,23,56.52,1,0,28,62,65,90,41.96
263,Fran Beltrán,ESP,MF,Celta Vigo,La Liga,23,37,2597,0.03,0.05,0,0,0.0,1,0,0,1905,1728,90.71,1532,151,220,35772,9,2,22.22,49,76,27,64.47,13,19,68.42,4,0,22,30,23,49,32.0
264,Hatem Ben Arfa,FRA,FWMF,Lille,Ligue 1,35,7,314,0.0,0.0,0,0,0.0,0,0,1,157,138,87.9,126,20,11,2303,6,2,33.33,2,3,1,66.67,8,15,53.33,1,0,7,4,0,7,0.0
265,Salim Ben Seghir,FRA,FW,Marseille,Ligue 1,19,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
266,Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,31,37,2529,0.89,0.26,8,8,100.0,25,0,5,677,492,72.67,438,135,103,7300,24,0,0.0,14,22,8,63.64,25,61,40.98,3,0,22,24,23,64,26.45
267,Marco Benassi,ITA,DFMF,Fiorentina,Serie A,27,6,158,0.0,0.0,0,0,0.0,0,0,0,131,108,82.44,79,25,27,2140,1,0,0.0,3,3,0,100.0,1,1,100.0,1,0,4,0,3,4,42.93
268,Marco Benassi,ITA,MF,Empoli,Serie A,27,12,382,0.0,0.0,0,0,0.0,0,0,0,168,121,72.02,120,21,27,2120,9,1,11.11,3,9,6,33.33,1,5,20.0,1,0,6,4,8,14,36.33
269,Darío Benedetto,ARG,FWMF,Marseille,Ligue 1,32,2,54,0.0,0.0,0,0,0.0,0,0,0,11,10,90.91,8,2,1,160,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0,0,2,1,66.6
270,Darío Benedetto,ARG,FW,Elche,La Liga,32,14,590,0.3,0.11,0,0,0.0,2,0,1,114,77,67.54,61,26,27,1537,6,0,0.0,0,4,4,0.0,10,16,62.5,1,0,5,8,11,12,47.85
271,László Bénes,SVK,MF,M'Gladbach,Bundesliga,24,13,246,0.0,0.0,0,0,0.0,0,0,0,192,142,73.96,130,13,49,2625,5,0,0.0,4,5,1,80.0,2,3,66.67,0,0,1,11,6,1,85.71
272,Walter Benítez,ARG,GK,Nice,Ligue 1,29,37,3330,0.0,0.0,0,0,0.0,0,0,0,1032,770,74.61,570,44,418,21752,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,7,0,0,0.0
273,Iker Benito,ESP,MFFW,Osasuna,La Liga,19,4,118,0.0,0.0,0,0,0.0,0,0,0,29,22,75.86,21,7,1,271,2,1,50.0,1,1,0,100.0,1,5,20.0,1,0,2,3,2,3,40.0
274,Loris Benito,SUI,DF,Bordeaux,Ligue 1,30,1,61,0.0,0.0,0,0,0.0,0,0,0,53,42,79.25,32,12,9,836,0,0,0.0,0,1,1,0.0,0,0,0.0,0,0,1,0,0,0,0.0
275,Pedro Benito,ESP,FW,Cádiz,La Liga,22,1,31,0.0,0.0,0,0,0.0,0,0,0,6,4,66.67,1,2,3,60,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,3,0,3,3,50.0
276,Filip Benkovi?,CRO,DFFW,Udinese,Serie A,24,2,8,0.0,0.0,0,0,0.0,0,0,0,6,5,83.33,5,0,1,104,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,3,0,100.0
277,Ismaël Bennacer,ALG,MF,Milan,Serie A,24,31,1525,0.12,0.13,0,0,0.0,2,0,1,1097,953,86.87,837,80,181,18730,15,4,26.67,38,52,14,73.08,39,46,84.78,7,0,32,53,17,23,42.62
278,Keanan Bennetts,ENG,FWDF,M'Gladbach,Bundesliga,23,4,50,0.0,0.0,0,0,0.0,0,0,0,23,17,73.91,18,3,2,334,2,0,0.0,0,1,1,0.0,5,7,71.43,1,0,3,0,1,1,50.0
279,Saïd Benrahma,ALG,FWMF,West Ham,Premier League,26,32,2168,0.33,0.13,0,0,0.0,8,0,6,831,624,75.09,612,105,115,9864,64,12,18.75,23,35,12,65.71,34,81,41.98,0,0,11,22,15,22,40.52
